"BOOT_IMAGE",CanMultiSession,PID,UID,"_raw","_time",api,average,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",distance,estimate,eventtype,files,gid,host,index,linecount,longest,lsn,mode,pid,punct,resettable,root,size,source,sourcetype,"splunk_server","splunk_server_group",sync,tag,"tag::eventtype",timeendpos,timestamp,timestartpos,total,uid,vendor,version,write
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 11:00:00.929: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T10:00:00.929-0600",,,11,20,0,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 10:59:00.724: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T09:59:00.724-0600",,,10,20,59,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 10:58:38.603: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T09:58:38.603-0600",,,10,20,58,november,38,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:38:00.386: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:38:00.386-0600",,,9,20,38,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:37:00.436: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:37:00.436-0600",,,9,20,37,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:36:00.949: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:36:00.949-0600",,,9,20,36,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:35:00.123: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:35:00.123-0600",,,9,20,35,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:34:00.651: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:34:00.651-0600",,,9,20,34,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:33:00.669: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:33:00.669-0600",,,9,20,33,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
,,,,"(lightdm-gtk-greeter:2114): Gtk-WARNING **: 09:32:00.156: Drawing a gadget with negative dimensions. Did you forget to allocate a size? (node menubar owner GreeterMenuBar)","2025-11-20T08:32:00.156-0600",,,9,20,32,november,0,thursday,2025,local,,,,,,kali,main,1,,,,,"(--:):_-_**:_::.:______._______?_(___)",,,,"/var/log/lightdm/seat0-greeter.log","linux_logs","tgmp-Ubuntu",,,,,56,,44,,,,,
